ID,TR,UT,data,raingauges_id,update_ref,invalid,hours_surrounding_total
1,17/12/04 10:51,1512227100,0.6,1,1512227100-1,0,1.8
2,17/12/04 10:51,1512227400,0.8,1,1512227400-1,0,1.8
3,17/12/04 10:51,1512227700,0.2,1,1512227700-1,0,1.8
4,17/12/04 10:51,1512228000,0.2,1,1512228000-1,0,1.8
5,17/12/04 10:51,1512252000,0,1,1512252000-1,0,0
6,17/12/04 10:51,1512325800,0.2,1,1512325800-1,0,2
7,17/12/04 10:51,1512326100,0.2,1,1512326100-1,0,2
8,17/12/04 10:51,1512326400,0.4,1,1512326400-1,0,2
9,17/12/04 10:51,1512326700,0.8,1,1512326700-1,0,2
10,17/12/04 10:51,1512327000,0.4,1,1512327000-1,0,2
11,17/12/04 10:51,1512338400,0,1,1512338400-1,0,0
12,17/12/04 10:51,1512226800,0.2,2,1512226800-2,0,0.4
13,17/12/04 10:51,1512227100,0.2,2,1512227100-2,0,0.4
14,17/12/04 10:51,1512252000,0,2,1512252000-2,0,0
15,17/12/04 10:51,1512325500,0.2,2,1512325500-2,0,4.4
16,17/12/04 10:51,1512325800,0.6,2,1512325800-2,0,4.4
17,17/12/04 10:51,1512326100,1.6,2,1512326100-2,0,4.4
18,17/12/04 10:51,1512326400,1.8,2,1512326400-2,0,4.4
19,17/12/04 10:51,1512326700,0.2,2,1512326700-2,0,4.4
20,17/12/04 10:51,1512338400,0,2,1512338400-2,0,0
21,17/12/04 10:51,1512252000,0,3,1512252000-3,0,0
22,17/12/04 10:51,1512325500,0.4,3,1512325500-3,0,4.6
23,17/12/04 10:51,1512325800,1.4,3,1512325800-3,0,4.6
24,17/12/04 10:51,1512326100,2.6,3,1512326100-3,0,4.6
25,17/12/04 10:51,1512326400,0.2,3,1512326400-3,0,4.6
26,17/12/04 10:51,1512331800,0.2,3,1512331800-3,0,0.2
27,17/12/04 10:51,1512338400,0,3,1512338400-3,0,0
28,17/12/04 10:51,1512227100,1.8,4,1512227100-4,0,2.2
29,17/12/04 10:52,1512227400,0.4,4,1512227400-4,0,2.2
30,17/12/04 10:52,1512252000,0,4,1512252000-4,0,0
31,17/12/04 10:52,1512326700,0.2,4,1512326700-4,0,0.4
32,17/12/04 10:52,1512327600,0.2,4,1512327600-4,0,0.4
33,17/12/04 10:52,1512338400,0,4,1512338400-4,0,0
34,17/12/04 10:52,1512227400,0.4,5,1512227400-5,0,0.8
35,17/12/04 10:52,1512227700,0.2,5,1512227700-5,0,0.8
36,17/12/04 10:52,1512228000,0.2,5,1512228000-5,0,0.8
37,17/12/04 10:52,1512252000,0,5,1512252000-5,0,0
38,17/12/04 10:52,1512326100,0.2,5,1512326100-5,0,2
39,17/12/04 10:52,1512326700,0.2,5,1512326700-5,0,2
40,17/12/04 10:52,1512327000,0.6,5,1512327000-5,0,2
41,17/12/04 10:52,1512327300,0.8,5,1512327300-5,0,2
42,17/12/04 10:52,1512327600,0.2,5,1512327600-5,0,2
43,17/12/04 10:52,1512338400,0,5,1512338400-5,0,0
44,17/12/04 10:52,1512213000,0.2,6,1512213000-6,0,0.2
45,17/12/04 10:52,1512252000,0,6,1512252000-6,0,0
46,17/12/04 10:52,1512326100,0.2,6,1512326100-6,0,0.8
47,17/12/04 10:52,1512326400,0.2,6,1512326400-6,0,0.8
48,17/12/04 10:52,1512327000,0.2,6,1512327000-6,0,0.8
49,17/12/04 10:52,1512327300,0.2,6,1512327300-6,0,0.8
50,17/12/04 10:52,1512338400,0,6,1512338400-6,0,0
51,17/12/04 10:52,1512361800,0.2,6,1512361800-6,0,0.2
52,17/12/04 10:52,1512168900,0.2,7,1512168900-7,0,0.2
53,17/12/04 10:52,1512252000,0,7,1512252000-7,0,0
54,17/12/04 10:52,1512326400,0.2,7,1512326400-7,0,1.8
55,17/12/04 10:52,1512326700,0.2,7,1512326700-7,0,1.8
56,17/12/04 10:52,1512327300,0.8,7,1512327300-7,0,1.8
57,17/12/04 10:52,1512327600,0.6,7,1512327600-7,0,1.8
58,17/12/04 10:52,1512338400,0,7,1512338400-7,0,0
59,17/12/04 10:52,1512252000,0,8,1512252000-8,0,0
60,17/12/04 10:52,1512325200,0.2,8,1512325200-8,0,1.4
61,17/12/04 10:52,1512325500,0.2,8,1512325500-8,0,1.4
62,17/12/04 10:52,1512325800,0.2,8,1512325800-8,0,1.4
63,17/12/04 10:52,1512326100,0.8,8,1512326100-8,0,1.4
64,17/12/04 10:52,1512338400,0,8,1512338400-8,0,0
65,17/12/04 10:52,1512227400,3.4,9,1512227400-9,0,5
66,17/12/04 10:52,1512227700,1.2,9,1512227700-9,0,5
67,17/12/04 10:52,1512228000,0.2,9,1512228000-9,0,5
68,17/12/04 10:52,1512228600,0.2,9,1512228600-9,0,5
69,17/12/04 10:52,1512252000,0,9,1512252000-9,0,0
70,17/12/04 10:52,1512326400,0.2,9,1512326400-9,0,2.2
71,17/12/04 10:52,1512326700,0.6,9,1512326700-9,0,2.2
72,17/12/04 10:52,1512327000,0.8,9,1512327000-9,0,2.2
73,17/12/04 10:52,1512327300,0.6,9,1512327300-9,0,2.2
74,17/12/04 10:52,1512338400,0,9,1512338400-9,0,0
75,17/12/04 11:54,1512252000,50,10,1512252000-10,0,50
76,17/12/04 10:52,1512326700,0.2,10,1512326700-10,0,4.4
77,17/12/04 10:52,1512327000,0.2,10,1512327000-10,0,4.4
78,17/12/04 10:52,1512327300,2.4,10,1512327300-10,0,4.4
79,17/12/04 10:52,1512327600,1.6,10,1512327600-10,0,4.4
80,17/12/04 10:52,1512338400,0,10,1512338400-10,0,0
81,17/12/04 10:52,1512252000,0,11,1512252000-11,0,0
82,17/12/04 10:52,1512326100,0.2,11,1512326100-11,0,1
83,17/12/04 10:52,1512326700,0.2,11,1512326700-11,0,1
84,17/12/04 10:52,1512327000,0.4,11,1512327000-11,0,1
85,17/12/04 10:52,1512327300,0.2,11,1512327300-11,0,1.2
86,17/12/04 10:52,1512328800,0.2,11,1512328800-11,0,0.4
87,17/12/04 10:52,1512338400,0,11,1512338400-11,0,0
88,17/12/04 10:52,1512252000,0,12,1512252000-12,0,0
89,17/12/04 10:52,1512327000,0.2,12,1512327000-12,0,1.2
90,17/12/04 10:52,1512327300,0.4,12,1512327300-12,0,1.2
91,17/12/04 10:52,1512327600,0.4,12,1512327600-12,0,1.2
92,17/12/04 10:52,1512327900,0.2,12,1512327900-12,0,1.4
93,17/12/04 10:52,1512329400,0.2,12,1512329400-12,0,0.4
94,17/12/04 10:52,1512338400,0,12,1512338400-12,0,0
95,17/12/04 10:52,1512199500,0.2,13,1512199500-13,0,0.2
96,17/12/04 10:52,1512252000,0,13,1512252000-13,0,0
97,17/12/04 10:52,1512326700,0.2,13,1512326700-13,0,6
98,17/12/04 10:52,1512327000,0.2,13,1512327000-13,0,6
99,17/12/04 10:52,1512327300,2.2,13,1512327300-13,0,6
100,17/12/04 10:52,1512327600,3,13,1512327600-13,0,6
101,17/12/04 10:52,1512327900,0.4,13,1512327900-13,0,6
102,17/12/04 10:52,1512338400,0,13,1512338400-13,0,0
103,17/12/04 10:52,1512189900,0.2,14,1512189900-14,0,0.2
104,17/12/04 10:52,1512252000,0,14,1512252000-14,0,0
105,17/12/04 10:52,1512325500,0.2,14,1512325500-14,0,1.2
106,17/12/04 10:52,1512326100,0.4,14,1512326100-14,0,1.2
107,17/12/04 10:52,1512326400,0.4,14,1512326400-14,0,1.2
108,17/12/04 10:52,1512327000,0.2,14,1512327000-14,0,1.2
109,17/12/04 10:52,1512338400,0,14,1512338400-14,0,0
110,17/12/04 10:52,1512227400,0.4,15,1512227400-15,0,2.2
111,17/12/04 10:52,1512227700,1.6,15,1512227700-15,0,2.2
112,17/12/04 10:52,1512228000,0.2,15,1512228000-15,0,2.2
113,17/12/04 10:52,1512252000,0,15,1512252000-15,0,0
114,17/12/04 10:52,1512327000,0.2,15,1512327000-15,0,0.4
115,17/12/04 10:52,1512327600,0.2,15,1512327600-15,0,0.4
116,17/12/04 10:52,1512338400,0,15,1512338400-15,0,0
117,17/12/04 10:52,1512252000,0,16,1512252000-16,0,0
118,17/12/04 10:52,1512326100,0.2,16,1512326100-16,0,2.4
119,17/12/04 10:52,1512326400,0.4,16,1512326400-16,0,2.4
120,17/12/04 10:52,1512327300,1.8,16,1512327300-16,0,2.4
121,17/12/04 10:52,1512338400,0,16,1512338400-16,0,0
122,17/12/04 10:52,1512227400,0.2,17,1512227400-17,0,0.2
123,17/12/04 10:52,1512252000,0,17,1512252000-17,0,0
124,17/12/04 10:52,1512326400,0.2,17,1512326400-17,0,0.8
125,17/12/04 10:52,1512326700,0.2,17,1512326700-17,0,0.8
126,17/12/04 10:52,1512327600,0.2,17,1512327600-17,0,0.8
127,17/12/04 10:52,1512327900,0.2,17,1512327900-17,0,0.8
128,17/12/04 10:52,1512338400,0,17,1512338400-17,0,0
129,17/12/04 10:52,1512227100,0.6,18,1512227100-18,0,1.8
130,17/12/04 10:52,1512227400,0.8,18,1512227400-18,0,1.8
131,17/12/04 10:52,1512227700,0.2,18,1512227700-18,0,1.8
132,17/12/04 10:52,1512228000,0.2,18,1512228000-18,0,1.8
133,17/12/04 10:52,1512252000,0,18,1512252000-18,0,0
134,17/12/04 10:52,1512326100,0.2,18,1512326100-18,0,1.2
135,17/12/04 10:52,1512326400,0.4,18,1512326400-18,0,1.2
136,17/12/04 10:52,1512326700,0.2,18,1512326700-18,0,1.2
137,17/12/04 10:52,1512327000,0.4,18,1512327000-18,0,1.2
138,17/12/04 10:52,1512329100,0.2,18,1512329100-18,0,0.2
139,17/12/04 10:52,1512338400,0,18,1512338400-18,0,0
140,17/12/04 10:52,1512226500,0.4,19,1512226500-19,0,1.4
141,17/12/04 10:52,1512226800,0.6,19,1512226800-19,0,1.4
142,17/12/04 10:52,1512227100,0.2,19,1512227100-19,0,1.4
143,17/12/04 10:52,1512227400,0.2,19,1512227400-19,0,1.4
144,17/12/04 10:52,1512252000,0,19,1512252000-19,0,0
145,17/12/04 10:52,1512325500,0.4,19,1512325500-19,0,2
146,17/12/04 10:52,1512325800,0.6,19,1512325800-19,0,2
147,17/12/04 10:52,1512326100,0.4,19,1512326100-19,0,2
148,17/12/04 10:52,1512326400,0.6,19,1512326400-19,0,2
149,17/12/04 10:52,1512338400,0,19,1512338400-19,0,0
150,17/12/04 10:52,1512252000,0,20,1512252000-20,0,0
151,17/12/04 10:52,1512327000,0.2,20,1512327000-20,0,0.4
152,17/12/04 10:52,1512327600,0.2,20,1512327600-20,0,0.6
153,17/12/04 10:52,1512329100,0.2,20,1512329100-20,0,0.4
154,17/12/04 10:52,1512338400,0,20,1512338400-20,0,0
155,17/12/04 10:52,1512344100,0.2,20,1512344100-20,0,0.2
156,17/12/04 10:52,1512177900,0.2,21,1512177900-21,0,0.2
157,17/12/04 10:52,1512210300,0.2,21,1512210300-21,0,0.2
158,17/12/04 10:52,1512252000,0,21,1512252000-21,0,0
159,17/12/04 10:52,1512261000,0.2,21,1512261000-21,0,0.2
160,17/12/04 10:52,1512338400,0,21,1512338400-21,0,0
161,17/12/04 10:52,1512252000,0,22,1512252000-22,0,0
162,17/12/04 10:52,1512327600,0.2,22,1512327600-22,0,0.6
163,17/12/04 10:52,1512328500,0.2,22,1512328500-22,0,1
164,17/12/04 10:52,1512328800,0.2,22,1512328800-22,0,1.2
165,17/12/04 10:52,1512329400,0.2,22,1512329400-22,0,1
166,17/12/04 10:52,1512330000,0.2,22,1512330000-22,0,1
167,17/12/04 10:52,1512330300,0.2,22,1512330300-22,0,0.8
