id,name,location_x,location_y,region_id,reference,ward_id
1,BLUFF RES NO.3,31.005075,-29.933965,1,bluff3,66
2,CHATSWORTH RES NO.1,30.900285,-29.911171,1,chats1,70
3,CHATSWORTH RES NO.4,30.859903,-29.90362,1,chats4,71
4,CITY ENGINEER'S DEPT,31.023634,-29.851328,1,cityeng,26
5,CRABTREE S-P-S,30.992646,-29.883997,1,crabtree,32
6,DBN NORTH HL RES,31.032235,-29.780359,2,dbnnhi,36
7,DUNKELD RES,30.932501,-29.80046,1,dunkeld,23
8,FIRWOOD RES,30.893153,-29.856828,1,firwood,63
9,ISLAND VIEW S-P-S,31.033217,-29.895545,1,islandvw,66
10,KENNEDY ROAD S-P-S,30.986411,-29.81142,1,kennedy,25
11,NEWLANDS RES NO.3,30.982097,-29.771602,2,newlnds3,11
12,PHOENIX RES NO.1,31.027022,-29.733357,2,phoenix1,110
13,RIDGE END RES,31.011997,-29.819681,1,ridgeend,27
14,RIDGE VIEW RES,30.948577,-29.864889,1,ridgevw,24
15,SAND PUMP HOPPER,31.050144,-29.872875,1,sandpump,26
16,SHERWOOD RES NO.3,30.977487,-29.83205,1,sherwd3,30
17,ST THOMAS RES,30.994746,-29.841151,1,stthom,31
18,WENTWORTH RES,30.988069,-29.934086,1,wentwth,68
19,WOODLAND RES NO.2,30.95073,-29.923771,1,wood2,64
20,PHOENIX RES NO.4,30.980711,-29.693083,2,phoenix4,52
21,BALLITO,31.192568,-29.539111,2,ballito,3
22,HAZELMERE DAM,31.041333,-29.595961,2,hazeldam,60
23,UMHWWTW,31.081456,-29.697257,2,umhwwtw,35
24,CATO RIDGE,30.579157,-29.736538,3,catordge,1
25,ALVERSTN,30.722599,-29.760911,3,alverstn,103
26,INANDA DAM,30.866758,-29.704527,3,inanddam,9
27,WATERFALL,30.807061,-29.75617,3,waterfal,9
28,HILLCREST,30.756989,-29.77901,3,hillcrst,8
29,SHONGWENI DAM,30.722337,-29.86057,3,shongdam,7
30,PINETOWN,30.861785,-29.816873,3,ptn,18
31,NAGLE DAM,30.622896,-29.589086,3,nagledam,1
32,UMLAZI,30.920546,-29.955572,4,umlazi1,80
33,UMBUMBULU RES,30.707848,-29.981689,4,umbumbul,3
34,ISIPINGO RES,30.923468,-30.014299,4,isipingo,93
35,UMKDEPOT,30.754047,-30.200036,4,umkdepot,99
36,RIVERLEA,30.294999,-29.880668,3,riverlea,3
37,CRAWFORD,31.062661,-29.742003,2,crawford,35
38,UMH NTH,31.077676,-29.730088,2,umhnth,35
40,FLOWDBN,31.023819,-29.851147,3,FL01,3
41,KLOOF,30.829901,-29.77473,3,kloof,10
42,AMANZIMTOTI,30.866731,-30.048904,4,amanzim,97
44,BUFFELS,30.982659,-29.631398,2,buffels,59
